"Código","Unidade Territorial","UF","Referência","Quantidade total de famílias inscritas no Cadastro Único"
"330020","ARARUAMA","RJ","03/2021","19771"
"330020","ARARUAMA","RJ","04/2021","19932"
"330020","ARARUAMA","RJ","12/2021","21536"
"330020","ARARUAMA","RJ","02/2021","19666"
"330020","ARARUAMA","RJ","11/2021","21389"
"330020","ARARUAMA","RJ","09/2021","20736"
"330020","ARARUAMA","RJ","08/2021","20571"
"330020","ARARUAMA","RJ","05/2021","20058"
"330020","ARARUAMA","RJ","06/2021","20175"
"330020","ARARUAMA","RJ","07/2021","20378"
"330020","ARARUAMA","RJ","01/2022","21819"
"330020","ARARUAMA","RJ","02/2022","22392"
"330020","ARARUAMA","RJ","03/2022","22738"
"330020","ARARUAMA","RJ","04/2022","23400"
"330020","ARARUAMA","RJ","05/2022","23990"
"330020","ARARUAMA","RJ","06/2022","24387"
"330020","ARARUAMA","RJ","07/2022","24916"
"330020","ARARUAMA","RJ","08/2022","25431"
"330020","ARARUAMA","RJ","09/2022","26045"
"330020","ARARUAMA","RJ","10/2022","26846"
"330020","ARARUAMA","RJ","11/2022","28057"
"330020","ARARUAMA","RJ","12/2022","30052"
"330020","ARARUAMA","RJ","01/2023","30497"
"330020","ARARUAMA","RJ","02/2023","30996"
"330020","ARARUAMA","RJ","03/2023","31388"
"330020","ARARUAMA","RJ","04/2023","31322"
"330020","ARARUAMA","RJ","05/2023","31552"
"330020","ARARUAMA","RJ","06/2023","31848"
"330020","ARARUAMA","RJ","07/2023","32246"
"330020","ARARUAMA","RJ","09/2023","32942"
"330020","ARARUAMA","RJ","10/2023","33192"
"330020","ARARUAMA","RJ","08/2023","32592"
"330020","ARARUAMA","RJ","11/2023","33458"
"330020","ARARUAMA","RJ","12/2023","33696"
"330020","ARARUAMA","RJ","01/2024","32038"
"330020","ARARUAMA","RJ","02/2024","31863"
"330020","ARARUAMA","RJ","03/2024","32251"
"330020","ARARUAMA","RJ","04/2024","32339"
"330020","ARARUAMA","RJ","05/2024","32191"
"330020","ARARUAMA","RJ","06/2024","32258"
"330020","ARARUAMA","RJ","07/2024","31477"
"330020","ARARUAMA","RJ","08/2024","31964"
"330020","ARARUAMA","RJ","09/2024","31489"
"330020","ARARUAMA","RJ","10/2024","31784"
"330020","ARARUAMA","RJ","11/2024","32164"
"330020","ARARUAMA","RJ","12/2024","32676"
"330020","ARARUAMA","RJ","05/2025","33218"
"330020","ARARUAMA","RJ","03/2025","32591"
"330020","ARARUAMA","RJ","01/2025","32115"
"330020","ARARUAMA","RJ","02/2025","32344"
"330020","ARARUAMA","RJ","08/2012","14559"
"330022","AREAL","RJ","01/2018","1867"
"330022","AREAL","RJ","08/2012","1175"
"330022","AREAL","RJ","09/2012","1229"
"330022","AREAL","RJ","10/2012","1235"
"330022","AREAL","RJ","11/2012","1235"
"330022","AREAL","RJ","12/2012","1241"
"330022","AREAL","RJ","11/2013","1611"
"330022","AREAL","RJ","10/2013","1592"
"330022","AREAL","RJ","12/2013","1635"
"330022","AREAL","RJ","08/2013","1530"
"330022","AREAL","RJ","09/2013","1574"
"330022","AREAL","RJ","07/2013","1497"
"330022","AREAL","RJ","06/2013","1442"
"330022","AREAL","RJ","05/2013","1401"
"330022","AREAL","RJ","04/2013","1374"
"330022","AREAL","RJ","03/2013","1322"
"330022","AREAL","RJ","02/2013","1293"
"330022","AREAL","RJ","01/2013","1245"
"330022","AREAL","RJ","11/2014","1749"
"330022","AREAL","RJ","10/2014","1751"
"330022","AREAL","RJ","12/2014","1756"
"330022","AREAL","RJ","09/2014","1750"
"330022","AREAL","RJ","08/2014","1750"
"330022","AREAL","RJ","07/2014","1714"
"330022","AREAL","RJ","02/2014","1665"
"330022","AREAL","RJ","03/2014","1670"
"330022","AREAL","RJ","06/2014","1708"
"330022","AREAL","RJ","05/2014","1689"
"330022","AREAL","RJ","04/2014","1677"
"330022","AREAL","RJ","01/2014","1644"
"330022","AREAL","RJ","09/2015","1795"
"330022","AREAL","RJ","10/2015","1810"
"330022","AREAL","RJ","02/2015","1711"
"330022","AREAL","RJ","07/2015","1757"
"330022","AREAL","RJ","11/2015","1817"
"330022","AREAL","RJ","08/2015","1772"
"330022","AREAL","RJ","06/2015","1773"
"330022","AREAL","RJ","05/2015","1752"
"330022","AREAL","RJ","04/2015","1741"
"330022","AREAL","RJ","03/2015","1725"
"330022","AREAL","RJ","12/2015","1835"
"330022","AREAL","RJ","01/2015","1684"
"330022","AREAL","RJ","11/2016","1932"
"330022","AREAL","RJ","08/2016","1915"
"330022","AREAL","RJ","12/2016","1823"
"330022","AREAL","RJ","10/2016","1916"
"330022","AREAL","RJ","09/2016","1918"
"330022","AREAL","RJ","07/2016","1893"
"330022","AREAL","RJ","06/2016","1872"
"330022","AREAL","RJ","05/2016","1860"
"330022","AREAL","RJ","02/2016","1808"
"330022","AREAL","RJ","04/2016","1843"
"330022","AREAL","RJ","03/2016","1828"
"330022","AREAL","RJ","01/2016","1794"
"330022","AREAL","RJ","09/2017","1756"
"330022","AREAL","RJ","12/2017","1853"
"330022","AREAL","RJ","08/2017","1982"
"330022","AREAL","RJ","11/2017","1826"
"330022","AREAL","RJ","10/2017","1801"
"330022","AREAL","RJ","04/2017","1893"
"330022","AREAL","RJ","07/2017","1933"
"330022","AREAL","RJ","01/2017","1831"
"330022","AREAL","RJ","05/2017","1908"
"330022","AREAL","RJ","02/2017","1850"
"330022","AREAL","RJ","06/2017","1922"
"330022","AREAL","RJ","03/2017","1870"
"330022","AREAL","RJ","11/2018","1955"
"330022","AREAL","RJ","07/2018","1875"
"330022","AREAL","RJ","10/2018","1886"
"330022","AREAL","RJ","12/2018","1882"
"330022","AREAL","RJ","09/2018","1836"
"330022","AREAL","RJ","08/2018","1790"
"330022","AREAL","RJ","06/2018","1862"
"330022","AREAL","RJ","04/2018","1821"
"330022","AREAL","RJ","05/2018","1849"
"330022","AREAL","RJ","03/2018","1791"
"330022","AREAL","RJ","02/2018","1881"
"330022","AREAL","RJ","10/2019","1884"
"330022","AREAL","RJ","12/2019","1920"
"330022","AREAL","RJ","11/2019","1904"
